Degerlendirme Puani,Basvuru Yili,Dogum Tarihi,Burslu ise Burs Yuzdesi,Stk Projesine Katildiniz Mi?,id,Dogum Yeri,Ikametgah Sehri,Universite Kacinci Sinif,Lise Adi,Lise Adi Diger,Lise Sehir,Lise Bolum Diger,Burs Aldigi Baska Kurum,Baska Kurumdan Aldigi Burs Miktari,Uye Oldugunuz Kulubun Ismi,Hangi STK'nin Uyesisiniz?,Girisimcilikle Ilgili Deneyiminizi Aciklayabilir misiniz?,Ingilizce Seviyeniz?,"Daha Önceden Mezun Olunduysa, Mezun Olunan Üniversite",Degerlendirme Puani (1),Degerlendirme Puani (error),Selected,Cinsiyet,Universite Adi,Universite Turu,Burs Aliyor mu?,Bölüm,Universite Not Ortalamasi,Daha Once Baska Bir Universiteden Mezun Olmus,Lise Turu,Lise Bolumu,Lise Mezuniyet Notu,Baska Bir Kurumdan Burs Aliyor mu?,Anne Egitim Durumu,Anne Calisma Durumu,Anne Sektor,Baba Egitim Durumu,Baba Calisma Durumu,Baba Sektor,Kardes Sayisi,Girisimcilik Kulupleri Tarzi Bir Kulube Uye misiniz?,Profesyonel Bir Spor Daliyla Mesgul musunuz?,Spor Dalindaki Rolunuz Nedir?,Aktif olarak bir STK üyesi misiniz?,Girisimcilikle Ilgili Deneyiminiz Var Mi?,Ingilizce Biliyor musunuz?,Basvuru Yasi
26.0,2019,1999.0,100.0,Hayir,3310,Van,Van,,Ercis Anadolu ogretmen lisesi,,Van,,Kyk,,,,,Orta,,32.5046,6.50456,No,Erkek,30 - 35,Devlet,Evet,30 - 35,3.00 - 3.49,Hayir,Devlet,Sayisal,75 - 100,Evet,Egitimi yok,Hayir,,Ilkokul,Hayir,,5.0,Hayir,Evet,Diger,Hayir,Hayir,Evet,20.0
9.0,2019,1999.0,50.0,Hayir,8043,Istanbul,Istanbul,,Erhan gedikbasi c.p.a.l,,Istanbul,,Kyk,,,,,Baslangic,,11.7321,2.73208,No,Kadin,20 - 25,Ozel,Evet,Diğer,2.50 - 2.99,Hayir,Devlet,Sozel,84-70,Evet,Ilkokul,Hayir,,Lise,Evet,Ozel Sektor,0.0,Hayir,Hayir,,Hayir,Hayir,Evet,20.0
34.0,2021,2001.0,,,55509,Ankara,Ankara,,Ozel Zehra Koleji Fen Lisesi(Burslu,,Ankara,,,,,,,,,28.2452,5.7548,No,Kadin,25 - 30,Devlet,Hayir,30 - 35,3.00 - 3.49,,Ozel,Sayisal,75 - 100,Hayir,Lise,,,Yuksek Lisans,,Kamu,1.0,Evet,Hayir,,,,Evet,20.0
46.0,2020,1998.0,,,43694,Hatay,Istanbul,,Karlisu Sosyal Bilimler Lisesi,,Hatay,,KYK,,,Toplum Gonulluleri Vakfi,,,,41.7632,4.23682,No,Erkek,25 - 30,Devlet,Hayir,35 - 40,1.80 - 2.49,,Diğer,Esit Agirlik,,Evet,Ilkokul,Hayir,,Ilkokul,Hayir,,2.0,Evet,Evet,Diger,Evet,Hayir,Evet,22.0
6.0,2017,1992.0,,Hayir,27822,Ankara,Ankara,,Acik Ogretim Lisesi,,Ankara,,,,,,,Orta,,7.96857,1.96857,No,Erkek,25 - 30,Devlet,Hayir,Diğer,2.50 ve altı,,Devlet,Esit Agirlik,50 - 74,Hayir,Ilkokul,Hayir,,Ilkokul,Emekli,,2.0,Hayir,Hayir,,Hayir,Hayir,Evet,25.0
8.0,2019,1998.0,100.0,Hayir,2893,Istanbul,Istanbul,,Osmangazi lisesi,,Istanbul,,Kyk,,,,,Orta,,14.9999,6.99993,No,Erkek,20 - 25,Devlet,Evet,35 - 40,2.50 - 2.99,Hayir,Devlet,Sayisal,75 - 100,Evet,Ilkokul,Emekli,,Lise,Hayir,,3.0,Hayir,Hayir,,Hayir,Hayir,Evet,21.0
22.0,2021,1997.0,0.0,,22438,Hakkari,Istanbul,,Cakmakli Cumhuriyet Anadolu Lisesi,,Istanbul,,KYK,ve uzeri,,,,,,28.2843,6.28433,No,Kadin,25 - 30,Devlet,Evet,25 - 30,3.50 - 4.00,,Diğer,Sayisal,75 - 100,Evet,Egitimi yok,,,Egitimi yok,,,0.0,Hayir,Hayir,,,,Evet,24.0
58.0,2016,1994.0,,Hayir,24174,Istanbul,Istanbul,,Kabatas Erkek Lisesi,,Istanbul,,,,TurkMSIC,,,Ileri,,62.0427,4.04274,No,Kadin,50 - 55,Devlet,Hayir,35 - 40,2.50 ve altı,Hayir,Devlet,Sayisal,,Hayir,Lise,Hayir,,Lise,Emekli,,1.0,Evet,Hayir,,Hayir,Hayir,Evet,22.0
34.0,2022,2003.0,,,60895,Bursa,Bursa,,Yonder,,Bursa,,,,,Agac dikme ve cop toplama etkinliklerine katildim birkac defa,,,,36.8638,2.8638,No,Erkek,20 - 25,Devlet,Hayir,Diğer,3.00 - 3.49,,Ozel,Sozel,75 - 100,Hayir,Lise,Evet,Ozel Sektor,Lise,Hayir,,1.0,Hayir,Evet,Lider/Kaptan,Evet,Hayir,Evet,19.0
12.0,2017,1996.0,,Hayir,27250,Istanbul,Istanbul,,Bakirkoy imam hatip,,Istanbul,,,,,,,,,11.7833,0.21675,No,Kadin,20 - 25,Devlet,Hayir,Diğer,2.50 - 2.99,,Devlet,Sayisal,84-70,Hayir,Ilkokul,Hayir,,Ilkokul,Emekli,,5.0,Hayir,Hayir,,Hayir,Hayir,Hayir,21.0
27.0,2014,1992.0,0.0,Hayir,14432,MALATYA,Malatya,,adiyaman fatih anadolu lisesi,,adiyaman,,,,MALIYE ARASTIRMA TOPLULUGU,,,,,24.0653,2.9347,No,Erkek,25 - 30,Devlet,Hayir,25 - 30,2.50 ve altı,Hayir,Devlet,Esit Agirlik,75 - 100,Hayir,Ilkokul,Hayir,,Ilkokul,Evet,Diger,4.0,Evet,Hayir,,Hayir,Hayir,,22.0
42.0,2022,2001.0,,,59629,Izmir,Istanbul,,Yil Anadolu Lisesi,,Izmir,,,,,Okul kulubunde bir koy okuluna yardim projesinde sponsorluk alaninda calisiyorum,,,,39.4946,2.50541,No,Kadin,50 - 55,Devlet,Hayir,35 - 40,2.50 - 2.99,,Devlet,Sayisal,75 - 100,Hayir,Universite,Hayir,,Lise,Hayir,,0.0,Hayir,Evet,Takim Oyuncusu,Evet,Hayir,Evet,21.0
44.0,2020,1999.0,0.0,,22386,Agri,Agri,,Acik ogretim lisesi,,Istanbul,,,,,,Universite arkadaslarim ile 3d printer uretip aldigimiz ciktilar ile ek gelir elde etmek,,,43.7521,0.247939,No,Erkek,20 - 25,Devlet,Evet,Diğer,2.50 - 2.99,,Diğer,Sozel,75 - 100,Hayir,Ilkokul,Hayir,,Ilkokul,Evet,Diger,2.0,Evet,Evet,Diger,Hayir,Evet,Evet,21.0
45.0,2020,2001.0,50.0,,8416,Adana,Istanbul,Hazirlik,Adana Kurttepe Doruk Temel Lisesi,,Adana,,,,,Toplum Gonulluleri Vakfi,,,,50.9267,5.92674,No,Kadin,35 - 40,Ozel,Evet,35 - 40,3.00 - 3.49,,Ozel,Sayisal,75 - 100,Hayir,Lise,Hayir,,Lise,Evet,Ozel Sektor,1.0,Evet,Evet,,Evet,Hayir,Evet,19.0
31.0,2020,2000.0,,,46841,Tekirdag,Denizli,,Corlu Sinav Temel Lisesi,,Tekirdag,,,,,,,,,18.6191,12.3809,No,Kadin,25 - 30,Devlet,Hayir,30 - 35,1.80 - 2.49,,Ozel,Esit Agirlik,75 - 100,Hayir,Ilkokul,Hayir,,Ortaokul,Evet,Ozel Sektor,1.0,Hayir,Evet,,Hayir,Hayir,Evet,20.0
12.0,2021,2001.0,,,49230,Adana,Adana,,Sungurbey anadolu lisesi,,Adana,,,,,,,,,15.9171,3.91708,No,Kadin,20 - 25,Devlet,Hayir,25 - 30,3.50 - 4.00,,Diğer,Sayisal,75 - 100,Hayir,Ilkokul,,,Lise,,,0.0,Hayir,Hayir,,,,Hayir,20.0
32.0,2014,1992.0,0.0,Evet,14200,Isparta,Istanbul,,Karsiyaka Behcet Uz anadolu lisesi,,Izmir,,Galatasaray Egitim Vakfi,,,,"Babam ticaretle ugrasiyor, bende cocuklugumdan beri yardim ediyorum. Yeni fikirler ve yaratici cozumler yaratma amacli fikir alisverisinde bulunuyorum",,,20.2533,11.7467,No,Erkek,40 - 45,Devlet,Hayir,Diğer,2.50 - 2.99,Hayir,Devlet,Diger,75 - 100,Evet,Ilkokul,Hayir,,Lise,Evet,Diger,2.0,Hayir,Hayir,,Hayir,Evet,,22.0
27.0,2017,1996.0,,Hayir,26999,Burdur,Istanbul,,Bucak Anadolu Lisesi,,Burdur,,,,ITU Mezunlar Dernegi Kulubu,,,Orta,,35.9083,8.90827,No,Erkek,35 - 40,Devlet,Hayir,Diğer,Hazırlığım,,Devlet,Sayisal,75 - 100,Hayir,Universite,Evet,Kamu,Universite,Evet,Kamu,1.0,Evet,Evet,Diger,Hayir,Hayir,Evet,21.0
49.0,2020,1999.0,,,44832,Izmir,Istanbul,,Izmir Fatih Fen Lisesi,,Izmir,,KYK,ve uzeri,,LOSEV ve YGA,,,,39.3672,9.63278,No,Kadin,40 - 45,Devlet,Hayir,35 - 40,3.00 - 3.49,,Ozel,Sayisal,75 - 100,Evet,Universite,Hayir,,Universite,Evet,Kamu,0.0,Hayir,Evet,Diger,Evet,Hayir,Evet,21.0
64.0,2016,1994.0,,Evet,26397,Istanbul,Antalya,,Haci Hatice Bayraktar Lisesi,,Istanbul,,,,"Girisimcilik ve Kariyer Toplulugu, Toplum Gonulluleri","Tegv, Losev",,,,63.1761,0.823867,No,Kadin,40 - 45,Devlet,Hayir,30 - 35,Hazırlığım,Hayir,Devlet,Sayisal,,Hayir,Ilkokul,Hayir,,Ilkokul,Emekli,,4.0,Evet,Hayir,,Evet,Hayir,Hayir,22.0
49.0,2017,1995.0,,Evet,33457,Ankara,Adana,,Antalya Gazi Anadolu Lisesi,,Antalya,,,,,,,Ileri,,47.9651,1.0349,No,Kadin,20 - 25,Devlet,Hayir,Diğer,2.50 - 2.99,,Devlet,Esit Agirlik,84-70,Hayir,Universite,Evet,Ozel Sektor,Ilkokul,Hayir,,2.0,Hayir,Evet,Diger,Evet,Evet,Evet,22.0
13.0,2020,1999.0,,,45344,Sirnak,Usak,,Kumcati Anadolu Lisesi,,Sirnak,,Kyk,ve uzeri,,,,,,16.0298,3.02984,No,Erkek,20 - 25,Devlet,Hayir,25 - 30,1.80 - 2.49,,Diğer,Sayisal,50 - 74,Evet,Egitimi yok,Hayir,,Egitimi yok,Hayir,,0.0,Hayir,Evet,,Hayir,Hayir,Hayir,21.0
62.0,2016,1992.0,,Evet,22514,Sanliurfa,Kayseri,,sanliurfa anadolu lisesi,,Sanliurfa,,,,ebedi genclik kulubu,,,Orta,,60.5887,1.41132,No,Erkek,45 - 50,Devlet,Hayir,30 - 35,2.50 - 2.99,Hayir,Devlet,Sayisal,,Hayir,Egitimi yok,Hayir,,Ilkokul,Hayir,,5.0,Evet,Hayir,,Hayir,Hayir,Evet,24.0
29.0,2021,1999.0,,,49761,Istanbul,Istanbul,,Fahrettin Ozudogru Anadolu Lisesi,,Istanbul,,,,,,,,,23.8485,5.15154,No,Kadin,25 - 30,Ozel,Hayir,30 - 35,3.50 - 4.00,,Diğer,Esit Agirlik,75 - 100,Hayir,Ilkokul,,,Ortaokul,,Diger,3.0,Hayir,Hayir,,,,Evet,22.0
22.0,2017,1997.0,100.0,Hayir,2384,Mardin,Ankara,,Mardin Anadolu Lisesi,,Mardin,,Yuksek Ogrenim Kredi ve Yurtlar Kurumu,,Proje Ve Organizasyon Toplulugu,,,Orta,,31.4065,9.40653,No,Erkek,30 - 35,Ozel,Evet,Diğer,Hazırlığım,,Devlet,Esit Agirlik,50 - 74,Evet,Lise,Hayir,,Universite,Emekli,,5.0,Evet,Hayir,,Hayir,Evet,Evet,20.0
70.0,2016,1994.0,,Hayir,24616,Eskisehir,Antalya,,AOTML,,Antalya,,,,Akdeniz Uni Avrupa-Akdeniz Genclik Merkezi,TEMA,,Ileri,,78.3099,8.30993,No,Erkek,40 - 45,Devlet,Hayir,35 - 40,3.50 - 4.00,Hayir,Devlet,Esit Agirlik,,Hayir,Lise,Hayir,,Universite,Emekli,,1.0,Evet,Hayir,,Evet,Evet,Evet,22.0
23.0,2022,1999.0,,,62869,Konya,Mugla,,Selcuklu Ataturk Anadolu Saglik Meslek Lisesi,,Konya,,KYK,,,,,,,22.9257,0.0742584,No,Erkek,35 - 40,Devlet,Hayir,30 - 35,3.50 - 4.00,,Devlet,Sayisal,75 - 100,Evet,Ilkokul,Hayir,,Lise,Evet,Ozel Sektor,1.0,Evet,Hayir,,Hayir,Hayir,Evet,23.0
34.0,2014,1993.0,50.0,Evet,6493,istanbul,Istanbul,,Yenibosna Lisesi,,Istanbul,,,,,Yuz yuze,Mahallelerde kurulan Halk pazarlarinda . Giyim piyasasindan urun alarak Halk pazarlarinda satarak ilk birnis girisimim olmustu,,,32.9172,1.08285,No,Erkek,25 - 30,Ozel,Evet,Diğer,2.50 - 2.99,Hayir,Devlet,Sozel,50 - 74,Hayir,Ilkokul,Hayir,,Ilkokul,Emekli,,2.0,Hayir,Hayir,,Evet,Evet,,21.0
13.0,2020,,,,48005,,,,Izzeddin sir Anadolu lisesi,,Van,,,,,,,,,21.8693,8.86931,No,,25 - 30,Devlet,Hayir,30 - 35,2.50 - 2.99,,Diğer,Sayisal,75 - 100,Hayir,Ilkokul,Hayir,,Ilkokul,Hayir,,0.0,Hayir,Evet,,Hayir,Hayir,Evet,Gelecekten
39.0,2019,1995.0,,Evet,37003,Elazig,Tekirdag,,Tunceli Anadolu Ogretmen Lisesi,,Tunceli,,,,,,,,,31.8558,7.14418,No,Erkek,20 - 25,Devlet,Hayir,Diğer,2.50 - 2.99,Hayir,Devlet,Sayisal,84-70,Hayir,Lise,Hayir,,Universite,Emekli,,2.0,Hayir,Evet,Lider/Kaptan,Hayir,Hayir,Hayir,24.0
26.0,2019,1998.0,,Evet,37608,Mersin,Aydin,,Mehmet Serttas Anadolu lisesi,,Mersin,,KYK,,,Habitat dernegi,,Baslangic,,25.3049,0.695128,No,Erkek,20 - 25,Devlet,Hayir,25 - 30,2.50 ve altı,Hayir,Devlet,Sayisal,84-70,Evet,Egitimi yok,Hayir,,Egitimi yok,Evet,Diger,5.0,Hayir,Hayir,,Evet,Hayir,Evet,21.0
28.0,2014,1992.0,0.0,,11346,Mus,Istanbul,,DenizYildizlari Meslek Lisesi,,Kocaeli,,,,,,,,,34.6558,6.65582,No,Erkek,40 - 45,Devlet,Hayir,Diğer,2.50 - 2.99,Hayir,Devlet,Diger,75 - 100,Hayir,Ilkokul,Hayir,,,,,,,,,,,,22.0
38.0,2014,1991.0,0.0,Hayir,11096,Ankara,,Mezun,Yil Lisesi,,Ankara,,,,,Press for Freedom-Gazeteciler Cemiyeti Uluslararasi Goc Orgutu-Sanatin Kanatlari Cevre,,,,42.7733,4.77331,No,Kadin,25 - 30,Devlet,Hayir,30 - 35,3.00 - 4.00,Hayir,Devlet,Esit Agirlik,75 - 100,Hayir,Ilkokul,Hayir,,Ilkokul,Emekli,,1.0,Hayir,Hayir,,Evet,Hayir,,23.0
50.0,2017,1996.0,,Evet,30890,Ankara,Ankara,,Nurettin karaoguz vakfi anadolu lisesi,,Ankara,,,,Beypazari belediye spor,,,Baslangic,,45.8718,4.12817,No,Erkek,20 - 25,Devlet,Hayir,30 - 35,2.50 - 2.99,,Devlet,Esit Agirlik,84-70,Hayir,Ortaokul,Hayir,,Universite,Evet,Kamu,1.0,Evet,Evet,Diger,Hayir,Evet,Evet,21.0
76.0,2016,1994.0,,Evet,25358,Kirikkale,Ankara,,Yildirim Beyazit Anadolu Lisesi,,Kirikkale,,Kredi Yurtlar Kurumu,,InovaTIM,,,Orta,,65.4784,10.5216,No,Kadin,45 - 50,Devlet,Hayir,35 - 40,2.50 - 2.99,Hayir,Devlet,Esit Agirlik,,Evet,Ilkokul,Hayir,,Ortaokul,Evet,Ozel Sektor,3.0,Evet,Evet,Diger,Hayir,Hayir,Evet,22.0
38.0,2021,1999.0,,,52646,Rize,Rize,,Ali Metin Kazanci Rize Anadolu Lisesi,,Rize,,KYK,ve uzeri,,,,,,35.6497,2.35033,No,Kadin,30 - 35,Devlet,Hayir,Diğer,3.00 - 3.49,,Diğer,Esit Agirlik,75 - 100,Evet,Ilkokul,,,Lise,,,2.0,Evet,Hayir,,,,Evet,22.0
26.0,2014,1994.0,0.0,Evet,10560,antakya,Istanbul,,NIHAL-TURGUT ANLAR ANADOLU OGRETMEN LISESI,,ANTAKYA,,,,,,,,,15.4176,10.5824,No,Erkek,30 - 35,Devlet,Hayir,Diğer,2.50 ve altı,Hayir,Devlet,Esit Agirlik,75 - 100,Hayir,Ilkokul,Hayir,,Universite,Evet,Kamu,3.0,Hayir,Hayir,,Hayir,Hayir,,20.0
17.0,2019,1998.0,,Evet,38821,Amasya,Canakkale,,RIZE T.O.B.B. FEN LISESI,,Rize,,,,,,,Orta,,6.18796,10.812,No,Erkek,30 - 35,Devlet,Hayir,30 - 35,Hazırlığım,Hayir,Devlet,Sayisal,84-70,Hayir,Ilkokul,Hayir,,Lise,Emekli,,2.0,Hayir,Hayir,,Hayir,Hayir,Evet,21.0
44.0,2021,1998.0,,,55600,Zonguldak,Zonguldak,,Kozlu Anadolu Lisesi,,Zonguldak,,Hazar Dernegi,,,,,,,37.7123,6.28768,No,Kadin,30 - 35,Devlet,Hayir,30 - 35,3.50 - 4.00,,Diğer,Esit Agirlik,75 - 100,Evet,Ilkokul,,,Ilkokul,,,1.0,Evet,Hayir,,,,Evet,23.0
34.0,2017,1998.0,,Evet,27427,Nevsehir,Nevsehir,,Gulsehir lisesi,,Nevsehir,,,,Gulsehir karavezir spor,,,Baslangic,,32.9485,1.05146,No,Erkek,20 - 25,Devlet,Hayir,Diğer,Hazırlığım,,Devlet,Sayisal,75 - 100,Hayir,Lise,Emekli,,Universite,Evet,Kamu,3.0,Evet,Hayir,,Hayir,Evet,Evet,19.0
27.0,2018,1999.0,100.0,Hayir,2766,Ordu,Istanbul,,Acik Ogretim Lisesi,,Ankara,,,,Ogrenci temsilciligi Kurulu/ Sosyal Sorumluluk Kulubu,,,Ileri,,39.2923,12.2923,No,Kadin,40 - 45,Devlet,Evet,Diğer,3.00 - 3.49,Hayir,Devlet,Esit Agirlik,75 - 100,Hayir,Universite,Hayir,,Universite,Evet,Ozel Sektor,2.0,Evet,Hayir,,Hayir,Evet,Evet,19.0
49.0,2021,1998.0,,,51802,Istanbul,Istanbul,,fen bilimleri temel lisesi,,Istanbul,,,,,,,,,35.7372,13.2628,No,Kadin,25 - 30,Devlet,Hayir,30 - 35,3.00 - 3.49,,Diğer,Esit Agirlik,75 - 100,Hayir,Ilkokul,,,Ilkokul,,Ozel Sektor,1.0,Evet,Hayir,,,,Evet,23.0
18.0,2017,1998.0,100.0,Hayir,2583,Antalya,Istanbul,,Alanya Hasan colak anadolu lisesi,,Antalya,,,,UniBjk,,,Ileri,,22.3181,4.31807,No,Erkek,30 - 35,Ozel,Evet,Diğer,Hazırlığım,,Devlet,Sayisal,75 - 100,Hayir,Ilkokul,Hayir,,Ilkokul,Emekli,,2.0,Evet,Hayir,,Hayir,Hayir,Evet,19.0
26.0,2022,2001.0,,,62293,Kocaeli,Manisa,,Ozel Kavram Temel Lisesi,,Manisa,,Kyk,,,Cocuk yardimi,,,,37.0226,11.0226,No,Erkek,20 - 25,Devlet,Hayir,35 - 40,2.50 - 2.99,,Ozel,Sayisal,75 - 100,Evet,Lise,Hayir,,Lise,Evet,Ozel Sektor,1.0,Hayir,Evet,Bireysel Spor,Evet,Hayir,Evet,21.0
32.0,2014,1995.0,0.0,Hayir,12034,Saray,Tekirdag,,Canik IMKB Anadolu Lisesi,,Samsun,,,,Turk Halk Muzigi,,,,,36.2676,4.26755,No,Kadin,25 - 30,Devlet,Hayir,30 - 35,2.50 ve altı,Hayir,Devlet,Sayisal,75 - 100,Hayir,Ilkokul,Hayir,,Lise,Evet,Ozel Sektor,1.0,Evet,Hayir,,Hayir,Hayir,,19.0
20.0,2019,1995.0,,Hayir,41219,Kayseri,Sivas,,Seyyid Burhaneddin Mesleki Ve Teknik Anadolu Lisesi,,Kayseri,,Turk egitim vakfi,,,Ihh,,,,25.699,5.69904,No,Erkek,20 - 25,Devlet,Hayir,Diğer,3.00 - 3.49,Hayir,Devlet,Sayisal,84-70,Evet,Ilkokul,Evet,Diger,Lise,Evet,Ozel Sektor,2.0,Hayir,Hayir,,Evet,Hayir,Hayir,24.0
35.0,2021,1998.0,,,51844,Mardin,Istanbul,,Sinav Temel Lisesi,,Mardin,,,,,,,,,49.7229,14.7229,No,Erkek,25 - 30,Ozel,Hayir,35 - 40,2.50 - 2.99,,Ozel,Sayisal,75 - 100,Hayir,Ilkokul,,,Ilkokul,,,4.0,Evet,Evet,Diger,,,Evet,23.0
42.0,2022,2000.0,,,59591,Sanliurfa,Ankara,,Akhisar Macide Ramiz Taskinlar Fen Lisesi,,Manisa,,,,,,,,,26.2534,15.7466,No,Erkek,55 - 60,Devlet,Hayir,30 - 35,3.00 - 3.49,,Devlet,Sayisal,75 - 100,Hayir,Ilkokul,Hayir,,Lise,Evet,Ozel Sektor,2.0,Hayir,Evet,Bireysel Spor,Hayir,Hayir,Evet,22.0
28.0,2020,1998.0,,,43510,Istanbul,Mersin,,Ozel Uskudar Bilfen Fen Lisesi,,Istanbul,,,,,,,,,29.9951,1.99509,No,Kadin,35 - 40,Ozel,Hayir,30 - 35,2.50 - 2.99,,Ozel,Sayisal,75 - 100,Hayir,Universite,Evet,Ozel Sektor,Universite,Evet,Kamu,,Hayir,Evet,,Hayir,Hayir,Evet,22.0
62.0,2016,1995.0,,Evet,23236,Istanbul,Manisa,,mayis lisesi,,Gaziantep,,kyk devlet,,,,,Ileri,,60.4367,1.56334,No,Erkek,65 - 70,Devlet,Hayir,35 - 40,3.00 - 3.49,Hayir,Devlet,Sayisal,,Evet,Ilkokul,Hayir,,Ilkokul,Evet,Diger,2.0,Hayir,Evet,Diger,Hayir,Evet,Evet,21.0
15.0,2020,1999.0,,,42282,,Denizli,,Ugur Asirlik Anadolu Lisesi,,,,,,,,,,,24.594,9.59402,No,Kadin,20 - 25,Devlet,Hayir,35 - 40,1.80 - 2.49,,Ozel,Esit Agirlik,75 - 100,Hayir,Yuksek Lisans,Evet,Kamu,Yuksek Lisans,Evet,Ozel Sektor,1.0,Hayir,Evet,,Hayir,Hayir,Evet,21.0
61.0,2018,1997.0,,Evet,34929,Istanbul,Istanbul,,Marmara Koleji,,Istanbul,,,,IU Liderler Kulubu,TurkishWINN & Merkez Bankasi,,Ileri,,65.7444,4.74436,No,Erkek,30 - 35,Devlet,Hayir,30 - 35,2.50 - 2.99,Hayir,Ozel,Esit Agirlik,75 - 100,Hayir,Ilkokul,Evet,Ozel Sektor,Lise,Emekli,,0.0,Evet,Evet,Lider/Kaptan,Evet,Evet,Evet,21.0
21.0,2019,1999.0,,,37465,Balikesir,Bursa,,Bursa Anadolu Erkek Lisesi,,Bursa,,KYK,,,,,,,24.4616,3.46162,No,Kadin,30 - 35,Devlet,Hayir,35 - 40,2.50 - 2.99,Hayir,Devlet,Esit Agirlik,75 - 100,Evet,Universite,Evet,,Universite,Evet,,2.0,Evet,Hayir,,,,Hayir,20.0
37.0,2022,2000.0,,,60437,Samsun,Ankara,,Samsun Ataturk Anadolu Lisesi,,Samsun,,,,,"de Dil ve Konusma Terapisi Ogrencileri tarafindan kurulan, tum okullari kapsayan Ogrenci Calisma Grubunda iki sene Tasarim Ekib'inde calisamlarimi yuruttum. Bu surecte ekibim ile alanimiza yonelik ozel gunlerde hastalilara ve cocuklara yonelik gelisimsel bilgilendirme calismalari yaptik",,,,37.3412,0.341202,No,Kadin,45 - 50,Devlet,Hayir,Diğer,3.50 - 4.00,,Devlet,Sayisal,75 - 100,Hayir,Lise,Hayir,,Universite,Evet,Kamu,1.0,Hayir,Hayir,,Evet,Hayir,Evet,22.0
43.0,2020,2000.0,100.0,,3768,Konya,Mugla,,Ankara Fen Lisesi,,Ankara,,Tubitak,ve uzeri,,,,,,40.4595,2.54051,No,Kadin,40 - 45,Ozel,Evet,Diğer,3.00 - 3.49,,Diğer,Sayisal,75 - 100,Evet,Universite,Evet,Kamu,Universite,Evet,Kamu,1.0,Evet,Evet,Diger,Hayir,Hayir,Evet,20.0
58.0,2021,2000.0,100.0,,4239,Istanbul,Antalya,,Adem Tolunay Anadolu Lisesi,,Antalya,,Ozyegin Universitesi,ve uzeri,,,,,,47.4236,10.5764,No,Kadin,35 - 40,Ozel,Evet,Diğer,3.00 - 3.49,,Diğer,Esit Agirlik,75 - 100,Evet,Universite,,Ozel Sektor,Universite,,Ozel Sektor,1.0,Evet,Evet,Diger,,,Evet,21.0
25.0,2021,2001.0,100.0,,5007,Kayseri,Kayseri,,Kayseri Cozum Ozel Temel Lisesi,,Kayseri,,KYK,ve uzeri,,,,,,18.9383,6.06172,No,Erkek,35 - 40,Devlet,Evet,35 - 40,3.00 - 3.49,,Ozel,Sayisal,75 - 100,Evet,Universite,,,Universite,,,2.0,Hayir,Hayir,,,,Evet,20.0
6.0,2017,1997.0,,Hayir,29153,Istanbul,Istanbul,,Toki atakent lisesi,,Istanbul,,,,,,,Orta,,10.3525,4.35255,No,Erkek,30 - 35,Devlet,Hayir,30 - 35,2.50 ve altı,,Devlet,Esit Agirlik,84-70,Hayir,Egitimi yok,Hayir,,Lise,Evet,Ozel Sektor,5.0,Hayir,Hayir,,Hayir,Hayir,Evet,20.0
36.0,2022,2002.0,,,60599,Hatay,Istanbul,,Haydar Aliyev Fen Lisesi,,Igdir,,,,,,,,,34.5443,1.45574,No,Erkek,50 - 55,Devlet,Hayir,35 - 40,3.00 - 3.49,,Devlet,Sayisal,75 - 100,Hayir,Lise,Evet,Kamu,Universite,Evet,Kamu,3.0,Evet,Evet,Bireysel Spor,Hayir,Hayir,Evet,20.0
18.0,2019,1998.0,,Hayir,37885,Elazig,Elazig,,Elazig Anadolu Lisesi,,Elazig,,,,,,,Baslangic,,23.6739,5.67395,No,Erkek,20 - 25,Devlet,Hayir,20 - 25,2.50 - 2.99,Hayir,Devlet,Sayisal,84-70,Hayir,Egitimi yok,Hayir,,Ilkokul,Evet,Ozel Sektor,3.0,Evet,Hayir,,Hayir,Hayir,Evet,21.0
32.0,2021,1999.0,,,49889,Mardin,Mardin,,Sehit kaymakam Muhammet Fatih Safiturk Anadolu lisesi,,Mardin,,Kyk,ve uzeri,,,,,,24.4711,7.52887,No,Kadin,15 - 20,Devlet,Hayir,25 - 30,2.50 - 2.99,,Diğer,Sayisal,75 - 100,Evet,Egitimi yok,,,Ilkokul,,Diger,0.0,Hayir,Evet,,,,Hayir,22.0
27.0,2021,2002.0,100.0,,4439,Bursa,Bursa,,Sehit Komando Er Samet Sarac Anadolu Lisesi,,Bursa,,,,,,,,,33.234,6.23397,No,Kadin,30 - 35,Ozel,Evet,35 - 40,3.00 - 3.49,,Diğer,Dil,75 - 100,Hayir,Ilkokul,,,Ortaokul,,Ozel Sektor,1.0,Hayir,Evet,Diger,,,Evet,19.0
40.0,2014,1994.0,0.0,,11711,Bayrampasa/Istanbul,Mersin,,Bilecik Anadolu Ogretmen Lisesi,,Bilecik,,,,,,,,,45.0695,5.06949,No,Kadin,25 - 30,Devlet,Hayir,35 - 40,2.50 - 2.99,Hayir,Devlet,Esit Agirlik,75 - 100,Hayir,Universite,Evet,Kamu,,,,,,,,,,,20.0
